Data;Hora;Temperatura;Umidade
18/07/18;0;21.6;67
18/07/18;1200;19.4;72
18/07/18;1800;29.2;39
19/07/18;0;23;63
19/07/18;1200;17.6;77
19/07/18;1800;29.4;41
20/07/18;0;23;73
20/07/18;1200;18;80
20/07/18;1800;30.8;35
21/07/18;0;25;50
21/07/18;1200;16;85
21/07/18;1800;24.8;59
22/07/18;0;18.6;67
22/07/18;1200;13.6;93
22/07/18;1800;24.6;55
23/07/18;0;19;81
23/07/18;1200;17.2;86
23/07/18;1800;29.2;46
24/07/18;0;21.8;71
24/07/18;1200;17.2;82
24/07/18;1800;26.8;46
25/07/18;0;19;75
25/07/18;1200;16;79
25/07/18;1800;26.8;51
26/07/18;0;20;79
26/07/18;1200;17.4;86
26/07/18;1800;28.2;44
27/07/18;0;21.6;72
27/07/18;1200;18;78
27/07/18;1800;29;39
28/07/18;0;22.6;63
28/07/18;1200;18.6;74
28/07/18;1800;29.4;44
29/07/18;0;23.8;67
29/07/18;1200;20;74
29/07/18;1800;30.6;37
30/07/18;0;23.2;67
30/07/18;1200;18.8;77
30/07/18;1800;29.2;42
31/07/18;0;21.6;71
31/07/18;1200;16;83
31/07/18;1800;26.4;53
01/08/18;0;19.4;63
01/08/18;1200;13.2;86
01/08/18;1800;18.2;70
02/08/18;0;14.8;83
02/08/18;1200;16.4;74
02/08/18;1800;24.8;54
03/08/18;0;19;73
03/08/18;1200;14.2;98
03/08/18;1800;15;98
04/08/18;0;15;100
04/08/18;1200;15.4;98
04/08/18;1800;18.6;98
05/08/18;0;17.2;94
05/08/18;1200;16;98
05/08/18;1800;18.4;90
06/08/18;0;16;94
06/08/18;1200;13.6;95
06/08/18;1800;17.4;84
07/08/18;0;15;98
07/08/18;1200;12.6;98
07/08/18;1800;18.2;76
08/08/18;0;15.4;91
08/08/18;1200;13;95
08/08/18;1800;16.2;94
09/08/18;0;15.2;100
09/08/18;1200;15;98
09/08/18;1800;20.4;62
10/08/18;0;12.6;75
10/08/18;1200;9;80
10/08/18;1800;19;49
11/08/18;0;13.2;76
11/08/18;1200;12;77
11/08/18;1800;24.2;38
12/08/18;0;16;70
12/08/18;1200;14.4;77
12/08/18;1800;25.8;49
13/08/18;0;18.2;74
13/08/18;1200;12.6;83
13/08/18;1800;25;46
14/08/18;0;17.2;71
14/08/18;1200;14.6;82
14/08/18;1800;27.2;44
